Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Cfhr2	1.1953244097258455	-2.668717992532452	0.5166918100576505	4.9885961108435244e-8	3.2340654660593394e-7	TRUE
Fam187a	7.63123756558751	-2.6696036414736364	0.2589937678389176	1.1862829088389348e-25	2.778658514687048e-24	TRUE
Spp1	767.7783553850304	-2.6740962743463723	0.4858615134461825	1.1215505736343769e-8	7.926326119769713e-8	TRUE
Akr1c12	1.238257070366175	-2.6745697105768844	0.6156140071867231	2.0245918162211535e-6	1.0261567499500257e-5	TRUE
Fam240a	0.8244404210992562	-2.6749459285560637	0.5947481394590258	1.1285743750102307e-6	5.990411233599203e-6	TRUE
Cd300c2	213.10506037569374	-2.6893416704464856	0.16409154974840057	6.840997381942968e-61	4.07571822913647e-59	TRUE
Igkv3-10	0.3766396418860143	-2.693696247682155	1.8937725541180468	0.0885055407424504	0.15401164534251927	FALSE
Tecta	48.663839634492845	-2.693977878509981	0.3625079035971046	3.217019796204123e-14	4.108614649224497e-13	TRUE
Irag2	104.21288262775764	-2.7012478003645994	0.18678439971493657	6.244409150477e-48	2.7592712058272146e-46	TRUE
Il7	17.3061666966942	-2.7012686283983594	0.2535215703087853	3.393083125761056e-27	8.43786530613267e-26	TRUE
Xlr4b	42.003739920225804	-2.702588394252577	0.2736512461802425	1.5357656453011046e-23	3.2745597989517417e-22	TRUE
Plcg2	404.750565500636	-2.7055389355455706	0.14550211528345794	1.1431861333977237e-77	1.0005094144232791e-75	TRUE
Chst13	0.7207297546099766	-2.7063129585567465	0.9595538431137974	0.0010989010952991505	0.003287385629551513	TRUE
Shox2	3.635717173029684	-2.7064843597291888	0.6265865793052641	0.010939814819780944	0.025467208844426267	TRUE
Raet1e	0.5635715594587114	-2.7073884634610406	1.299280158046783	0.017928385043147463	0.039418007232158686	TRUE
Anxa2	607.0270699320918	-2.7107886422375356	0.2730957028750555	9.962439974003256e-24	2.1464875440171137e-22	TRUE
Arhgap45	719.3742599896509	-2.7166966294662767	0.15422412584905182	5.2647162578245445e-70	3.897616167268138e-68	TRUE
Phf11c	52.850449112166494	-2.717658910448277	0.1827739904988546	1.4782183929701942e-50	6.982881027880123e-49	TRUE
Cxcr4	188.69664492421026	-2.7263424411512562	0.37286275490007503	8.096846837175104e-14	1.0023399209616987e-12	TRUE
C1qc	3197.120158957136	-2.727528399088373	0.16561064565201386	1.8547124797353627e-61	1.1138140370325663e-59	TRUE
Gm41322	1.0311949130811338	-2.727712237795795	0.5751382191935638	2.7237046530315393e-7	1.6020122705249325e-6	TRUE
Cnn2	446.1638672931059	-2.7294504167371176	0.20246295929179164	6.228422341360736e-42	2.3716319809093663e-40	TRUE
Il18rap	102.08148028607445	-2.733588925327372	0.1899320277703298	1.970022446869712e-47	8.538024347469884e-46	TRUE
H2-Ob	55.47053190225101	-2.734620080633603	0.24005843557630005	1.2953248767188519e-30	3.5756033883021607e-29	TRUE
Lyn	711.8974640172686	-2.735520511798561	0.11787477173892867	1.1655996098275361e-119	3.1332427607030673e-117	TRUE
Gm1965	0.6350979170266543	-2.73797638133504	0.8663080191387886	4.5670013099427385e-4	0.0014880647846826412	TRUE
Ifnb1	0.27062277474629864	-2.7406598730702085	1.435609630989982	0.053374934460649365	0.10060990233921552	FALSE
LOC100041057	0.7691351858321943	-2.7430298190283207	0.8917006052013947	5.14050127569513e-4	0.001656049633402711	TRUE
Garin3	10.186584953882923	-2.745066869856961	0.40746622003073363	4.158780336460455e-12	4.400433926770247e-11	TRUE
Mzb1	14.396489471643267	-2.746345026442995	0.4603049108840578	7.143361455707507e-10	5.893207952863556e-9	TRUE
Niban1	228.7414462713439	-2.7567101224794026	0.1946237624965276	4.342406141951643e-46	1.8124127668256579e-44	TRUE
Ubash3a	104.99964574040564	-2.758110991043024	0.2536153162673208	4.499738360839971e-28	1.1467730495233244e-26	TRUE
Cyp1b1	232.77639512411912	-2.758416705723506	0.2955701507430174	3.1683323533206285e-21	6.17797448514506e-20	TRUE
5830432E09Rik	20.4537859937614	-2.7601175864957606	0.19424806046320536	2.4824169245977216e-46	1.0438170234155783e-44	TRUE
Cyp4a12b	2.9539921085311804	-2.761874753101244	1.1446050774845054	0.003525581080560317	0.009317371348203646	TRUE
Guca1a	8.17143447290406	-2.7637560907755807	0.2896991916287188	3.0437483430830497e-22	6.1972802152222955e-21	TRUE
4933424M12Rik	11.733132080644005	-2.7653246731219867	0.2225330073915248	2.8003867771489455e-36	8.956477822666173e-35	TRUE
Endou	47.77900243362248	-2.773365123826307	0.1718994918401229	3.440091795943704e-59	1.9715043845789046e-57	TRUE
Tcstv1a	0.9997832906074355	-2.7772742310583167	0.5492898347943291	4.610621482282203e-8	3.005422432734762e-7	TRUE
Tlr7	346.02076373927713	-2.7776021318494846	0.27429795682631625	1.3220777243867997e-24	2.952771020440547e-23	TRUE
P2ry6	211.55621460911107	-2.7796879825363288	0.1906025546251135	1.082447220395462e-48	4.859176587779231e-47	TRUE
Rasal3	391.5276786945659	-2.7811486299140693	0.24042551276070054	1.8695879590632984e-31	5.224665360847683e-30	TRUE
Psd4	485.4703432910102	-2.7881123141795725	0.5028237973872911	9.001379991255526e-9	6.448887982662246e-8	TRUE
S100a11	331.98332065061453	-2.789017051786353	0.19639980703499163	2.756151897954819e-46	1.156764123714123e-44	TRUE
Cd101	20.39029468989468	-2.800698405720872	0.19761900131468166	3.396393059851521e-46	1.420195468360136e-44	TRUE
Rhbdf2	167.21343473976987	-2.8046191196892125	0.17196456474779073	2.591200808049506e-60	1.5276583353983772e-58	TRUE
Lsp1	463.18318999534586	-2.8078243346736858	0.47034393426519766	7.388806907465044e-10	6.080147958110812e-9	TRUE
Trim34b	3.207532261102859	-2.8086552186580884	0.40069687311991115	3.73602303563354e-13	4.359658922201826e-12	TRUE
Itih4	10.493895956373585	-2.8098837782006494	0.350921227774924	2.9010579244802236e-16	4.381664744800231e-15	TRUE
Ggta1	426.2392909921376	-2.811338698181302	0.2058780761350847	5.915870412005612e-43	2.3031095500532194e-41	TRUE
Aif1	406.897319322114	-2.8126425746631387	0.18790785495032222	3.4553086641427216e-51	1.6529845261937004e-49	TRUE
Mir6386	0.7231131556224533	-2.817674534563915	0.6390923188551582	1.7627148257161022e-6	9.05210388098012e-6	TRUE
S1pr4	39.14203757568394	-2.817995210875768	0.20862862650434674	3.811850996256247e-42	1.4662963457489958e-40	TRUE
Mir223hg	10.274772945843583	-2.819615952335569	0.32723030788041796	1.5084337951710237e-18	2.6140011584774913e-17	TRUE
Msn	2652.303915419673	-2.823991815362046	0.13403679354663336	5.6986334100762635e-99	8.465469894705397e-97	TRUE
Ncf1	674.2686829987917	-2.826815838717922	0.14419014625385862	4.3593333223502174e-86	4.665106465339711e-84	TRUE
Lrrk1	456.3303012249789	-2.8281113664671236	0.2527046599033244	1.3969897341077053e-29	3.73302108830201e-28	TRUE
Xkr5	15.3553408768301	-2.8291804640790628	0.2996384348433869	8.111289275134585e-22	1.6193891408712548e-20	TRUE
Igkj4	0.30755266141255	-2.8294147346231022	2.330014756117333	0.13135846969023468	0.2144666844255603	FALSE
Ltb4r1	10.671596047340602	-2.831124452530707	0.32737365815017616	1.0562996190428037e-18	1.84321834605769e-17	TRUE
Siglecg	17.710500078515157	-2.8316470348147127	0.4689263176916977	4.1456420695047423e-10	3.5112002224087427e-9	TRUE
Hbq1b	11.516572925198213	-2.834593026559821	0.5481715512758297	6.485907288503403e-8	4.1429076824443234e-7	TRUE
Lck	192.46460317180444	-2.841425741572153	0.19396495760214685	4.257727831174287e-49	1.9343962661552395e-47	TRUE
Rab17	1.0513076597384496	-2.8416564462811387	0.5758413872813397	9.917267638164476e-8	6.209980678584411e-7	TRUE
Slc35d2	39.62257822578483	-2.843326630349151	0.21426507217595067	9.665088217203652e-41	3.5543598036556755e-39	TRUE
Bex6	0.31298047585618116	-2.8480464778280896	1.23864486266578	0.022682444502909575	0.04833156524258735	TRUE
Apol10b	46.05381478342538	-2.848213678492283	0.18861206290009216	3.7511576377753064e-52	1.8176210184756742e-50	TRUE
Itgae	27.769471482873616	-2.8517293990594745	0.18460892970254872	2.0443555868574172e-54	1.046747146286632e-52	TRUE
