Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Tspan18	896.6494610363424	-0.529898008779716	0.47409799326074825	0.18891626925042604	0.28762250419220686	FALSE
Nr2f1	2063.8986390963078	-0.5304968808694847	0.34509547183576206	0.09429878690924269	0.1624402356126564	FALSE
Ttc23	173.24931255419102	-0.5305055832230381	0.16766933380104632	0.0012629463190748395	0.003719489746277537	TRUE
Igbp1	1499.5664697310913	-0.5305983022786044	0.06925253741009789	1.4945068133570875e-14	1.96083462205712e-13	TRUE
Serpini1	8937.89785525049	-0.5308569489117231	0.2385934896217053	0.018272182220193705	0.04006077041770791	TRUE
Ezr	2780.827954713874	-0.5309090495087504	0.11446476340743782	2.830092587919452e-6	1.3989380611913576e-5	TRUE
Kbtbd13	9.721423980245039	-0.5309149080664048	0.2747277899727356	0.04103936392757615	0.08026581528667558	FALSE
Ift70a2	8.367003023977704	-0.5310627035371369	0.2058221143409224	0.007640313171911649	0.018534408188844546	TRUE
Coro2a	1328.948042832976	-0.531397635805923	0.2362076331429855	0.018425109269341464	0.04035295512140934	TRUE
A230028O05Rik	11.819974538475453	-0.531587543476944	0.16688987319484105	0.0011062296934483329	0.003306243081146705	TRUE
Hscb	189.37410724153943	-0.531638363293259	0.11707021942979821	4.519485047216445e-6	2.1579609297134137e-5	TRUE
Gm8978	0.8810492505630555	-0.5319391663858928	0.5813958950365025	0.22954402026277038	0.33709052923604027	FALSE
Sema5a	3583.3201724906976	-0.5324560348217404	0.29684189529117894	0.05532653734796832	0.10369133576669361	FALSE
AI182371	30.045772145500443	-0.5324707385160691	0.1909244726024328	0.004258632173232017	0.011021482177945926	TRUE
Nwd2	1371.0841633427524	-0.5331550634973837	0.3963229523365368	0.1322676230602294	0.2156080658894008	FALSE
Gm12296	12.542295132411686	-0.5333401021921593	0.19963088624700848	0.00592043859490846	0.01479618190072308	TRUE
Olfm2	2392.0653547083343	-0.5333495556054493	0.17089343015417624	0.0013682784956859692	0.003987574655729116	TRUE
